Date,ADI,AMAT,AMD,ARM,ASML,ASX,AVGO,CRDO,ENTG,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MTSI,MU,NVDA,NVMI,NXPI,ON,QCOM,RMBS,STM,SWKS,TER,TSM,TXN,UMC
2024-06-10,227.6359405517578,224.13882446289062,160.33999633789062,139.91000366210938,1022.643798828125,10.334511756896973,140.94041442871094,28.56999969482422,131.29940795898438,30.71515464782715,78.11355590820312,98.42023468017578,88.78071594238281,766.6256103515625,69.0372543334961,102.20999908447266,133.8603515625,121.57960510253906,225.22999572753906,266.0709228515625,73.5,199.53372192382812,55.900001525878906,43.188358306884766,86.65438079833984,141.999267578125,163.42828369140625,185.79844665527344,7.54647970199585
2024-06-11,228.535400390625,225.91696166992188,158.9600067138672,143.9199981689453,1017.0480346679688,10.315939903259277,142.95208740234375,28.5,130.15921020507812,30.7250919342041,78.48524475097656,98.09447479248047,88.05577850341797,770.9525756835938,69.96147155761719,102.62999725341797,134.1085662841797,120.7110595703125,224.8300018310547,267.10888671875,73.9800033569336,198.74264526367188,56.099998474121094,42.68186569213867,89.15616607666016,143.35891723632812,161.04721069335938,185.62924194335938,7.528970241546631
2024-06-12,230.60507202148438,233.46157836914062,160.24000549316406,155.58999633789062,1049.2969970703125,10.613070487976074,146.32571411132812,29.079999923706055,136.57398986816406,30.56610107421875,81.40080261230469,101.81123352050781,88.98783111572266,802.07666015625,72.90301513671875,105.26000213623047,139.74810791015625,124.99397277832031,234.8800048828125,271.97186279296875,76.22000122070312,205.2904815673828,58.09000015258789,44.064979553222656,95.10485076904297,147.73561096191406,168.11260986328125,187.0771026611328,7.651534080505371
2024-06-13,226.3400115966797,233.36334228515625,159.89999389648438,158.0500030517578,1033.442626953125,10.594498634338379,164.2780303955078,28.940000534057617,136.15757751464844,30.26799201965332,81.61910247802734,101.89659881591797,87.37791442871094,803.4238891601562,72.41606903076172,104.79000091552734,142.12110900878906,129.396728515625,237.30999755859375,265.6966552734375,75.04000091552734,207.59703063964844,56.95000076293945,43.1006965637207,98.52396392822266,146.52484130859375,168.57476806640625,184.53863525390625,7.782854080200195
2024-06-14,223.59329223632812,232.8525390625,159.6300048828125,157.88999938964844,1009.0866088867188,10.483075141906738,169.7621307373047,28.8799991607666,132.75686645507812,30.258056640625,81.10875701904297,101.64933776855469,86.00337219238281,793.1672973632812,72.81358337402344,104.23999786376953,140.353759765625,131.6630096435547,237.97999572753906,259.3116149902344,71.97000122070312,205.2333221435547,56.95000076293945,41.35718536376953,96.70783996582031,143.9643096923828,168.18478393554688,182.3009796142578,7.64277982711792
2024-06-17,224.75389099121094,238.5797576904297,158.39999389648438,160.2899932861328,1033.2069091796875,10.70592212677002,178.94276428222656,28.579999923706055,134.45228576660156,30.784713745117188,83.47266387939453,105.1541519165039,85.69267272949219,813.6412963867188,71.37261199951172,107.05999755859375,146.77772521972656,130.7644805908203,239.08999633789062,261.6360778808594,70.7300033569336,211.80026245117188,56.52000045776367,41.980560302734375,98.49616241455078,143.64674377441406,172.7962188720703,183.24118041992188,7.765345096588135
2024-06-18,227.6456298828125,243.46217346191406,154.6300048828125,174.1300048828125,1041.953857421875,11.086618423461914,176.36460876464844,29.209999084472656,136.5541534423828,30.436920166015625,84.89161682128906,107.10840606689453,87.98046112060547,838.3929443359375,72.68439483642578,107.18000030517578,152.35769653320312,135.35690307617188,241.11000061035156,261.7711181640625,70.7300033569336,216.44187927246094,56.720001220703125,41.96108627319336,98.6444091796875,150.6038055419922,175.18478393554688,184.5104217529297,7.7916083335876465
2024-06-20,221.96849060058594,235.76036071777344,161.77999877929688,160.77000427246094,1031.5087890625,10.90091323852539,169.71517944335938,28.3700008392334,132.19171142578125,30.426984786987305,81.57583618164062,104.32939147949219,83.80973815917969,811.6155395507812,72.78376770019531,105.0,143.16363525390625,130.5648193359375,232.77000427246094,255.2895050048828,67.62999725341797,205.36676025390625,54.56999969482422,39.62342071533203,98.03286743164062,146.8324737548828,170.9828338623047,181.22918701171875,7.800363540649414
2024-06-21,223.45790100097656,231.2610626220703,161.22999572753906,160.3000030517578,1017.6273803710938,10.752348899841309,162.2859344482422,27.489999771118164,132.4098358154297,30.894020080566406,80.2935791015625,103.25199890136719,86.21991729736328,812.4415283203125,71.44218444824219,105.7699966430664,138.54673767089844,126.36173248291016,228.89999389648438,261.4142150878906,68.5199966430664,202.56460571289062,54.5099983215332,39.730560302734375,98.57028198242188,147.32870483398438,169.5984649658203,183.83346557617188,7.747836112976074
2024-06-24,220.95301818847656,225.78921508789062,160.25,151.07000732421875,983.6705322265625,10.575928688049316,156.28182983398438,27.290000915527344,130.18896484375,30.37729835510254,78.07421875,100.70301818847656,83.96038818359375,784.87744140625,67.34784698486328,106.44999694824219,138.02047729492188,117.91563415527344,224.13999938964844,257.78765869140625,67.79000091552734,191.42274475097656,53.41999816894531,39.204586029052734,97.25453186035156,144.43075561523438,163.60264587402344,182.3104248046875,7.712817668914795
2024-06-25,222.77122497558594,230.1411590576172,160.25,160.61000061035156,1004.610107421875,10.6502103805542,155.16091918945312,29.56999969482422,133.39138793945312,30.546226501464844,80.44009399414062,103.5026626586914,83.93214416503906,806.2461547851562,67.83479309082031,106.0999984741211,140.115478515625,125.88250732421875,234.14999389648438,260.3436584472656,67.83999633789062,192.6903839111328,54.279998779296875,39.1460075378418,99.49686431884766,146.45533752441406,168.27255249023438,182.83689880371094,7.712817668914795
2024-06-26,220.3533935546875,228.07815551757812,157.5399932861328,164.72000122070312,997.9933471679688,10.687352180480957,156.26121520996094,29.709999084472656,132.09255981445312,30.347488403320312,79.97399139404297,103.7838134765625,84.77945709228516,802.8829956054688,67.8447265625,108.2300033569336,141.3466339111328,126.19202423095703,230.52000427246094,258.65570068359375,68.16999816894531,188.0773162841797,55.880001068115234,38.8336181640625,98.347900390625,145.7606658935547,167.75582885742188,181.54885864257812,7.677799224853516
