Date,ADI,ALAB,AMAT,AMD,ARM,ASML,ASX,AVGO,CRDO,ENTG,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MTSI,MU,NVDA,NVMI,NXPI,ON,QCOM,RMBS,STM,SWKS,TER,TSM,TXN,UMC
2026-03-11,317.38104248046875,124.70999908447266,350.25958251953125,204.8300018310547,120.0999984741211,1381.87060546875,21.681888580322266,340.3163757324219,115.91000366210938,116.00146484375,47.97999954223633,146.14808654785156,218.71592712402344,65.0699462890625,1067.32421875,90.3724594116211,222.5500030517578,418.4498291015625,185.8134307861328,435.7699890136719,198.16587829589844,59.2400016784668,132.9031219482422,92.52999877929688,33.9249267578125,54.873191833496094,301.7600402832031,352.7376403808594,196.6587371826172,9.532295227050781
2026-03-12,305.4998474121094,119.9000015258789,336.4914245605469,197.74000549316406,115.12000274658203,1346.892333984375,20.78095245361328,334.7369384765625,111.56999969482422,109.81098937988281,45.25,140.61839294433594,209.34254455566406,62.04344177246094,1030.2451171875,87.60452270507812,215.94000244140625,405.1174621582031,182.9268035888672,420.1099853515625,189.58963012695312,57.689998626708984,129.9600830078125,89.77999877929688,33.108177185058594,54.724483489990234,286.39178466796875,334.9794006347656,188.12600708007812,9.188346862792969
2026-03-13,304.3067932128906,120.30999755859375,340.7416076660156,193.38999938964844,115.75,1341.022705078125,21.285873413085938,320.9776306152344,117.69000244140625,108.11360168457031,45.77000045776367,141.52320861816406,212.05062866210938,61.262088775634766,1048.8892822265625,87.79438781738281,217.8000030517578,425.8855895996094,180.0401611328125,428.6000061035156,189.23269653320312,58.54999923706055,128.64215087890625,94.01000213623047,32.73964309692383,54.26844787597656,286.2019348144531,336.5711669921875,188.84861755371094,9.109729766845703
2026-03-16,309.1288757324219,127.4800033569336,345.3808288574219,196.5800018310547,121.69999694824219,1370.7891845703125,21.305673599243164,323.7275085449219,116.87999725341797,111.46843719482422,45.7599983215332,143.47850036621094,219.24554443359375,63.131404876708984,1073.6121826171875,91.51160430908203,224.9199981689453,441.54656982421875,183.0067138671875,437.75,190.25392150878906,59.880001068115234,128.21604919433594,92.77999877929688,33.32730484008789,54.07017135620117,298.0428771972656,338.4813232421875,192.16470336914062,9.30627155303955
2026-03-17,311.8530578613281,127.56999969482422,351.6463623046875,196.30999755859375,127.30999755859375,1384.342041015625,21.612586975097656,320.1307373046875,104.05999755859375,115.90161895751953,44.060001373291016,147.77914428710938,226.31057739257812,63.883079528808594,1062.909912109375,90.72219848632812,221.2899932861328,461.4251403808594,181.71820068359375,445.5199890136719,192.36575317382812,60.97999954223633,130.3960723876953,93.5,33.65599822998047,53.247318267822266,299.17205810546875,345.1716613769531,192.48146057128906,9.35540771484375
2026-03-18,306.812255859375,126.33999633789062,348.66326904296875,199.4600067138672,128.36000061035156,1350.469970703125,21.444278717041016,314.7704772949219,101.72000122070312,115.40238952636719,45.029998779296875,147.87989807128906,224.55181884765625,64.00177001953125,1071.509521484375,87.55455780029297,218.88999938964844,461.46514892578125,180.1899871826172,457.79998779296875,191.04710388183594,60.459999084472656,129.2862548828125,93.31999969482422,33.09821701049805,53.11844253540039,299.841552734375,338.7766418457031,188.84861755371094,9.13921070098877
2026-03-19,308.651611328125,126.16000366210938,356.3853759765625,205.27000427246094,129.82000732421875,1361.6510009765625,21.681888580322266,318.6661376953125,107.08999633789062,115.68196105957031,46.18000030517578,150.7888946533203,233.82528686523438,62.597312927246094,1088.8482666015625,89.463134765625,224.5399932861328,444.01513671875,178.3521270751953,472.0799865722656,190.7100067138672,59.290000915527344,130.08888244628906,94.62000274658203,32.29142761230469,53.653785705566406,302.16973876953125,337.99847412109375,186.38381958007812,9.099902153015137
2026-03-20,307.6474304199219,116.04000091552734,356.2357482910156,201.3300018310547,132.35000610351562,1312.681396484375,21.09776496887207,309.3703918457031,103.4000015258789,114.48380279541016,43.869998931884766,149.50698852539062,228.19924926757812,62.28081512451172,1065.0921630859375,87.84434509277344,218.9600067138672,422.65740966796875,172.4989471435547,465.29998779296875,189.73834228515625,59.2599983215332,128.72140502929688,91.69999694824219,30.73761558532715,53.971031188964844,290.6085510253906,328.47076416015625,185.29495239257812,8.962323188781738
2026-03-23,310.39154052734375,123.87000274658203,360.9548034667969,202.67999267578125,136.88999938964844,1364.8697509765625,21.464080810546875,322.0003967285156,105.0999984741211,114.83326721191406,44.0099983215332,150.77992248535156,233.14576721191406,63.63581848144531,1072.5657958984375,90.09266662597656,229.25999450683594,404.1180419921875,175.43553161621094,470.8699951171875,191.7411346435547,59.88999938964844,127.18548583984375,93.3499984741211,31.534442901611328,54.02060317993164,303.6886291503906,337.6592712402344,186.7203826904297,8.932841300964355
2026-03-24,319.9759826660156,121.76000213623047,373.12664794921875,205.3699951171875,134.9600067138672,1394.5665283203125,21.315574645996094,317.78704833984375,100.30000305175781,121.48302459716797,44.060001373291016,156.24276733398438,238.671875,64.91169738769531,1097.717041015625,92.29102325439453,237.22999572753906,395.3031311035156,174.99603271484375,485.42999267578125,194.7254638671875,62.34000015258789,127.50257873535156,92.69000244140625,31.914016723632812,54.88310623168945,319.8962707519531,342.4480285644531,192.65963745117188,8.893533706665039
